DATE,OPPONENT,WINNER,NOTABLE
2009-09-25,ATL,Abe,"Teddy “recovering,” sits out 4th straight race"
2009-09-26,ATL,Abe,"Teddy returns to action, stops with lead"
2009-09-27,ATL,Abe,
2009-09-28,NYM,Abe,"Abe signs baseballs, tosses to crowd after win"
2009-09-29,NYM,Abe,Abe leads Tom & George in celebratory bunny hop
2009-09-30,NYM,George,George fixes final race as finish line is moved.
2010-04-05,PHI,Abe,Teddy collapses near the finish line on opening day.
2010-04-07,PHI,Tom,"Teddy returns, loses late lead to Tom."
2010-04-08,PHI,George,George salutes the Masters with a golf scramble.
2010-04-16,MIL,Abe,“Un-racing Sausages” return to Nationals Park
2010-04-17,MIL,Tom/George,"In relay, Presidents knock down “un-racing sausages”"
2010-04-18,MIL,Abe,"Fork in hand, Teddy ambushes “un-racing sausages”"
2010-04-19,COL,Tom,"Jefferson makes an inside move, passes Abe"
2010-04-20,COL,Tom,Teddy’s astronaut helmet honors Space Shuttle pilot
2010-04-21,COL,Abe,Abe climbs into the stands to face Let Teddy Win fans
2010-04-22,COL,George,"On Earth Day, Teddy plants a tree in foul territory"
2010-04-23,LAD,Abe,"Teddy rides a Segway, is passed by Abe anyway"
2010-04-24,LAD,George/Abe,George wins as presidents display new red uniforms
2010-04-24,LAD,George/Abe,Abe takes 2nd race in 13th inning
2010-04-25,LAD,George,George runs through 12-mascot obstacle course
2010-05-04,ATL,Tom,Teddy tackles Abe. George gives him a body slam.
2010-05-05,ATL,George,Abe gets back at Teddy on Cinco de Mayo
2010-05-06,ATL,Tom,"Jefferson sprints, pauses, then runs away with it"
2010-05-07,FLA,George,"Tom shoves Teddy, George leads wire to wire"
2010-05-08,FLA,Abe,Brian from Family Guy tackles Washington & Jefferson
2010-05-09,FLA,George,Screech’s mom helps judge on Mothers Day
2010-05-19,NYM,Tom/George,"“That Cat” returns, coldcocks Abe Lincoln in relay"
2010-05-20,NYM,Tom,Teddy cheats but can’t catch Jefferson
2010-05-21,BAL,Tom,Orioles Bird tackles everybody — except Jefferson
2010-05-22,BAL,Abe,Abe Lincoln cheats his way to victory
2010-05-23,BAL,Abe,Abe comes from behind for a legitimate win.
2010-06-04,CIN,Abe,Abe comes from behind again
2010-06-05,CIN,Abe,"Abe’s streak continues, George topples the Gecko"
2010-06-06,CIN,Abe,Abe’s streak reaches 5 as Strasmas approaches
2010-06-08,PIT,Tom,"Teddy fails to make history with pierogies, sausages"
2010-06-09,PIT,Tom,"“That Cat” brings help, takes out pierogies & sausages"
2010-06-10,PIT,George,Teddy fans from Texas see Hawaiian-themed race
2010-06-18,CWS,Abe,"With Obama watching, Abe wins aboard a Segway"
2010-06-19,CWS,Abe,"New shoes help Teddy fly, but he trips in the outfield"
2010-06-20,CWS,Tom,Teddy sits in stands getting fanned by Nat Pack girls
2010-06-21,KC,Abe,"3-legged race gets broken up, Abe sprints to victory"
2010-06-22,KC,George,George Washington leads wire to wire
2010-06-23,KC,George,"Teddy cheats, Abe trips, George wins"
2010-07-01,NYM,Tom,Teddy gives weak effort as Jefferson wins by a head
2010-07-02,NYM,Tom,Abraham Lincoln takes out the GEICO Gecko
2010-07-03,NYM,Abe,Abe Lincoln steals the flag from the GEICO Gecko
2010-07-04,NYM,Tom,Jefferson runs with flag then declares Independence
2010-07-06,SD,Abe,Presidents ask fans to make Zimmerman an All Star
2010-07-07,SD,Tom,Teddy celebrates early. Tom passes him in the stretch
2010-07-08,SD,Tom,"Teddy takes a swing at Abe, knocks him to the ground"
2010-07-09,SF,George,George Washington high-steps past Tom and Abe
2010-07-10,SF,George,Teddy makes George Washington pay for showboating
2010-07-11,SF,George,Teddy plays Santa for Christmas in July
2010-07-27,ATL,Abe,That Cat runs interference as Abe leads wire to wire.
2010-07-28,ATL,George,The presidents salute Batista post-race.
2010-07-29,ATL,Tom,"George, Abe, & Teddy “hit the wall” in the heat"
2010-07-30,PHI,George,Teddy goes off course to hand flowers to Miss Iowa
2010-07-31,PHI,George,"Teddy trips at finish line, falls flat on his face"
2010-08-01,PHI,George,Abe celebrates prematurely and trips.
2010-08-10,FLA,Abe,Teddy is disqualified for riding a motor scooter
2010-08-11,FLA,George,George edges Tom at the finish
2010-08-12,FLA,George,George continues his post-All Star Break tear.
2010-08-13,ARI,George,Presidents wear “Jason” masks on Friday the 13th
2010-08-14,ARI,Abe,Presidents send message to the Diamondbacks
2010-08-15,ARI,Abe,"Presidents wear traditional period unis, Abe cruises."
2010-08-23,CHC,Abe,Abe comes from behind to tie for first
2010-08-24,CHC,Abe,Abe steals first place back from George Washington
2010-08-25,CHC,Tom,
2010-08-26,STL,Tom,That Cat returns to help Tom
2010-08-26,STL,Abe/Tom,Extra-innings race results in a tie
2010-08-27,STL,Abe,"Lincoln turns it on, leads from wire to wire"
2010-08-28,STL,George,Washington beats Lincoln at the wire
2010-08-29,STL,Abe,Presidents declare “It’s a Double Rainbow”
2010-09-06,NYM,Abe,Abe falls backwards over the finish line
2010-09-07,NYM,Abe,Abe continues torrid late season streak
2010-09-08,NYM,Tom,Abe pulls up lame in the home stretch
2010-09-10,FLA,George,Teddy stops to pass out “Los Nacionales” t-shirts
2010-09-11,FLA,Abe,"Teddy cuts the corner, but can’t catch Lincoln"
2010-09-12,FLA,George,"In traditional period garb, George comes from behind"
2010-09-20,HOU,George,"Presidents race on bicycles, Teddy still can’t cut it"
2010-09-21,HOU,George,George takes 3rd race in a row
2010-09-22,HOU,George,Teddy is spotted a huge lead but trips short of the finish
2010-09-23,HOU,George,George wins 5 straight to pull into tie with Abe
2010-09-24,ATL,Tom,"Abe falls, George trips, Teddy piles on."
2010-09-25,ATL,Tom,
2010-09-26,ATL,Tom,The Grinch steals the win from Teddy Roosevelt
2010-09-27,PHI,Tom,"Georges passes Teddy, who stops to dance"
2010-09-28,PHI,Tom,Mr. Kool Aid tackles Teddy. Tom extends his streak.
2010-09-29,PHI,Abe,A farewell to outgoing team president Stan Kasten
2011-03-31,ATL,George/Tom,Teddy falls as George/Tom split opening day relay
2011-04-02,ATL,George/Tom,George & Tom take 2nd team race aboard tandem bikes
2011-04-03,ATL,Abe,"Teddy has Abe beat, but is clotheslined by George & Tom"
2011-04-12,PHI,George,"Teddy wears makeshift cosmonaut helmet, but can’t see"
2011-04-13,PHI,Tom,JFK makes his first appearance at Nationals Park
2011-04-14,PHI,Abe,"Phillies fan reaches from stands, hits Thomas Jefferson"
2011-04-15,MIL,Tom,Presidents plow through “un-racing sausages”
2011-04-17,MIL,George,Guest mascots tackle “un-racing sausages”
2011-04-17,MIL,Abe,Teddy barbeques sausages on the field
2011-04-26,NYM,Abe,"“That Cat” returns to Nationals Park, tackles Teddy"
2011-04-27,NYM,George,"“Botox” presidents return, Abe slams into Teddy"
2011-04-28,NYM,Abe,Teddy knocks Jefferson to the ground
2011-04-29,SF,Abe,Teddy dresses for the royal wedding
2011-04-30,SF,Abe,Teddy dives for the finish line
2011-05-01,SF,Abe,"Classic presidents return, Abe comes from behind to win"
2011-05-02,SF,George,Presidents introduce new “patriotic” jerseys
2011-05-13,FLA,Abe,Presidents wear hockey masks for Friday the 13th
2011-05-14,FLA,Abe,Teddy races in fishing gear vs. Florida Marlins
2011-05-15,FLA,Tom,Teddy knocks out Abe Lincoln
2011-05-16,PIT,Tom,Teddy misses race waiting in line for a $1 hot dog
2011-05-27,SD,Abe,Abe pays tribute to Randy “Macho Man” Savage
2011-05-28,SD,Abe,Jayson Werth shows disgust as Abe wins again
2011-05-29,SD,George,Teddy sustains late lead but George wins at the tape
2011-05-30,PHI,Abe,"Amid much speculation about a Teddy victory, he loses"
2011-05-31,PHI,George,"Teddy fades, George dances across the finish line"
2011-06-01,PHI,Tom,"Teddy wins aboard a Segway, and is disqualified"
2011-06-14,STL,Tom,"Tom cheats, plows into Abe, gets victory anyway"
2011-06-15,STL,George,"That Cat, Rally Penguin aren’t enough on Lobster Day"
2011-06-16,STL,George,Teddy goes off-course into the outfield
2011-06-17,BAL,George,Wrestler John Cena pumps up Teddy vs. Oriole Bird
2011-06-18,BAL,George,"Abe takes a tumble, George takes 4th race in a row"
2011-06-19,BAL,Tom,George Washington fails again on Fathers Day
2011-06-21,SEA,Abe,Teddy sends That Cat to stop George Washington
2011-06-22,SEA,Abe,Samurai takes out Washington and Jefferson
2011-06-23,SEA,Tom,TJ catches Teddy from behind to take victory #10
2011-07-01,PIT,George,Pittsburgh Pierogies send Tom and Teddy flying
2011-07-02,PIT,Abe/George,"Abe runs anchor, shares relay win race with George"
2011-07-02,PIT,George,Abe gives up lead to tackle Pittsburgh pierogies
2011-07-03,PIT,Abe,Abe passes four pierogies at the finish
2011-07-04,CHC,Tom,Jefferson carries flag wire-to-wire on Independence Day
2011-07-05,CHC,Abe,Teddy tries to lock the door on the other presidents
2011-07-06,CHC,Abe,Presidents Endorse Michael Morse for the All Star Team
2011-07-07,CHC,Tom,Teddy runs into the right field wall
2011-07-08,COL,Tom,Presidents honor final Space Shuttle Atlantis launch
2011-07-09,COL,Tom,Teddy fades holding his balloon-animal dog
2011-07-10,COL,George,George Washington dons horns for Running of the Bulls
2011-07-26,FLA,Tom,"In football tribute, Teddy stripped at the goal line"
2011-07-27,FLA,Tom,"That Cat returns, takes out George, Abe, and Teddy"
2011-07-28,FLA,Tom,Teddy loses lead after high-stepping through the race
2011-07-29,NYM,Tom,"Dressed in Hawaiian shirts, Teddy stops to hula dance"
2011-07-30,NYM,Abe,"Teddy takes out his frustrations on Tom, decks him"
2011-07-31,NYM,Abe,Teddy attacks George & Tom to kick off Shark Week
2011-08-01,ATL,George,"Teddy rides a trike w/ the Gecko, Screech gets it wrong"
2011-08-02,ATL,Tom,Teddy takes out George Washington in the outfield
2011-08-03,ATL,Tom,Teddy gets tackled by Luc the Lobster
2011-08-16,CIN,Abe,Teddy taken down by racing monkey Steve
2011-08-17,CIN,Abe,Wardrobe malfunction as Tom’s uniform comes open
2011-08-18,CIN,Abe,"Abe comes from behind, holds off Tom for the win"
2011-08-19,PHI,Abe,Teddy fails to block Abe in the home stretch
2011-08-20,PHI,George,New introductions by the GEICO Gecko
2011-08-21,PHI,George,"In a photo finish, George edges Abe and Teddy"
2011-08-22,ARI,Tom,"Tom finishes first, loses his shirt again"
2011-08-23,ARI,George,"George passes Teddy, makes Abe look foolish"
2011-08-24,ARI,Abe,Presidents issue challenge to Arizona’s Mark Grace
2011-08-25,ARI,Abe,Racing Mark Grace tells Teddy “I’m coming for you”
2011-09-02,NYM,George,"Teddy tumbles short of the finish line, trips Abe"
2011-09-03,NYM,Tom,Teddy avoids disqualification only by losing
2011-09-04,NYM,Abe,"Abe Lincoln blocks Teddy, turns and taunts him"
2011-09-05,LAD,Tom,Teddy taunts the other presidents – much too early
2011-09-06,LAD,George,That Cat returns to thwart a sure victory for Teddy
2011-09-07,LAD,N/A,Canceled (Rain)
2011-09-08,LAD,Tom,Jefferson wins a Sprint in rain-postponed game
2011-09-09,HOU,Abe,"Lincoln runs away with it, then does a little dance"
2011-09-10,HOU,Tom,"Teddy turns on the racing presidents, and regrets it"
2011-09-11,HOU,George,Washington leads 9/11 remembrance day carrying a flag
2011-09-16,FLA,Abe,Teddy tries the old misdirection scheme
2011-09-17,FLA,Tom,Leprechaun takes out Teddy 1/2 way to St. Patty’s Day
2011-09-17,FLA,Tom,13th-inning backwards race postpones Abe’s celebration
2011-09-18,FLA,Tom,"Teddy goes fishing for Marlin, forgets about the race"
2011-09-23,ATL,Tom,Jayson Werth and the bullpen get in on the action
2011-09-24,ATL,Werth,"Jayson Werth causes chaos again, is declared winner"
2011-09-25,ATL,Tom,"Jayson Werth: “It’s bigger than me, man.”"
2012-04-12,CIN,Tom,Teddy ties presidents shoelaces but Tom takes them off
2012-04-13,CIN,Tom,"Presidents race on Segways, Jefferson moves to 2-0"
2012-04-13,CIN,Tom,Abe takes out Teddy in extra 13th-inning race
2012-04-14,CIN,Abe,"Direction change confuses Teddy, who runs wrong way"
2012-04-15,CIN,George,"Jayson Werth breaks the tape, but Teddy fails to do so"
2012-04-16,HOU,Abe,"George tackles Tom, Abe wins on Emancipation Day"
2012-04-17,HOU,Tom,Teddy stops to look for Space Shuttle Discovery in the sky
2012-04-18,HOU,Abe,"Teddy makes a strong run, but can’t catch Abe"
2012-04-19,HOU,George,Teddy gives out High Fives for National High Five Day
2012-04-20,MIA,Tom,Tom passes George and Abe in the home stretch
2012-04-21,MIA,George,"Teddy skips race, walks the dog for Pups in the Park"
2012-05-01,ARI,George,“Classic” presidents return for Bryce Harper’s debut
2012-05-02,ARI,George,George runs away with it. Presidents taunt Racing Gracie
2012-05-03,ARI,Abe,Lincoln wears Mark Grace mask to snare a win for Gracie
2012-05-04,PHI,George,"With Phillies in town, presidents show their “Natitude”"
2012-05-05,PHI,Tom,Teddy gives up the lead to antagonize Phillies fans
2012-05-06,PHI,George,Teddy attacks & ESPN’s Dan Shulman visits the blog
2012-05-14,SDG,George,"“New” presidents return, GW falls back over finish line"
2012-05-15,SDG,George,"In the rain, everybody falls except George Washington"
2012-05-16,PIT,George,"Racing pierogie Potato Pete returns, distracts Teddy"
2012-05-17,PIT,Tom,Teddy exacts revenge on Pittsburgh’s Potato Pete
2012-05-18,BAL,George,Presidents run left. George does jumping jacks.
2012-05-19,BAL,Tom,Teddy pummels the Oriole Bird
2012-05-20,BAL,Abe,"Lincoln returns to form, passing Roosevelt for the win"
2012-06-02,ATL,Abe,“Classic” presidents return after long road trip
2012-06-03,ATL,Tom,Abe Lincoln face plants in foul territory
2012-06-05,NYM,Abe,Abe Lincoln rides a tricycle but is not disqualified
2012-06-06,NYM,George/Abe,"Abe beats Teddy again, this time with both on bikes"
2012-06-07,NYM,George,"Teddy fades, George beats Abe at the finish"
2012-06-15,NYY,George,"In new military fatigues, Teddy falls to a rogue lobster"
2012-06-16,NYY,Abe,"Teddy rides a motorcycle, but starts in the wrong direction"
2012-06-16,NYY,Abe,"Teddy tried the motorcycle again, but runs out of gas"
2012-06-17,NYY,Tom,"Jefferson knocks out all 3 competitors, is not disqualified"
2012-06-19,TAM,Abe,Lincoln shows up the other presidents at the finish
2012-06-20,TAM,George,George holds off Abe as presidents run left
2012-06-21,TAM,Abe,Teddy gets his glasses fixed. No help. Abe wins.
2012-07-03,SFG,Abe,Teddy learns you can’t Tweet and run at the same time
2012-07-04,SFG,Tom,Jefferson goes coast to coast on Independence Day
2012-07-05,SFG,George,Abe & Teddy pay tribute to 1924 on throwback night
2012-07-06,COL,Abe,Abe Lincoln pulls away from the pack at the finish
2012-07-07,COL,George,"In 103° heat, Teddy veers off course for Popsicles"
2012-07-08,COL,George,"George comes from behind, taunts Abe at the finish line"
2012-07-17,NYM,George/Tom,George and Tom race to victory aboard tandem bicycles
2012-07-18,NYM,Tom,Lincoln as Batman tackles Teddy Roosevelt as Bane
2012-07-19,NYM,Tom,Teddy distracted by Mets fan offering free apple pie
2012-07-20,ATL,Abe,Abraham Lincoln leads wire to wire
2012-07-21,ATL,George,Washington comes from behind to pass Abe Lincoln
2012-07-21,ATL,Abe,Lincoln surges past the field and cruises
2012-07-22,ATL,Abe,Abe Lincoln cheats his way to presidents race victory
2012-07-31,PHL,Tom,Racing presidents kick off a week of Olympic tributes
2012-08-01,PHL,Tom,Racing presidents take up swords in fencing match
2012-08-02,PHL,George,Racing presidents perform rhythmic gymnastics
2012-08-03,MIA,George/Tom,"Teddy runs anchor in baton relay, loses lead to George"
2012-08-03,MIA,Tom,Shark attacks Teddy as presidents “swim” race
2012-08-04,MIA,Abe,“Regatta” has presidents riding Segways fitted with sails
2012-08-05,MIA,Tom,Presidents race Olympics conclude with Steeplechase
2012-08-17,NYM,Abe,Teddy nearly wins dressed as a shark for Shark Week
2012-08-18,NYM,Abe,"Nationals send a message, George pummels Teddy"
2012-08-19,NYM,Abe,"Abe Lincoln continues his roll, passing Teddy for the W"
2012-08-20,ATL,Tom,Thomas Jefferson beats Abe Lincoln in a photo finish
2012-08-20,ATL,Abe,"In 13th inning, Screech awards W to Abe over George"
2012-08-21,ATL,Tom,Thomas Jefferson beats Abe Lincoln again at the wire
2012-08-22,ATL,Abe,Abe moves into first place as race runs on 3B side again
2012-08-30,STL,Tom,Thomas Jefferson catches Roosevelt from behind
2012-08-31,STL,Abe,AU mascot Clawed the Eagle holds the finish line
2012-09-01,STL,Abe,Teddy leads racing presidents in “Gangnam Style” dance
2012-09-02,STL,Tom,"Teddy rides a tricycle, but can’t catch Thomas Jefferson"
2012-09-03,CHC,George,George wins first presidents race in a month
2012-09-04,CHC,Abe,Lincoln catches George Washington from behind
2012-09-05,CHC,Tom,Controversial finish in closest presidents race ever
2012-09-06,CHC,Abe,Lincoln runs extends his lead with an easy win
2012-09-07,MIA,George,Teddy pushes Abe Lincoln into the outfield wall
2012-09-08,MIA,Tom,Presidents push and shove until one is left standing
2012-09-09,MIA,Tom,"Jefferson fades, then comes back to win a clean race"
2012-09-19,LAD,Abe,Lincoln takes race 1 of the doubleheader
2012-09-19,LAD,Tom,"Teddy loses, says “Argh!” on Talk Like a Pirate Day"
2012-09-20,LAD,George,George holds off TJ in the stretch as Nats clinch playoffs
2012-09-21,MIL,George,Teddy comes in 2nd in 1st race after Nats make playoffs
2012-09-22,MIL,Abe,Presidents (and pups in the park) show playoff Natitude
2012-09-23,MIL,George,"Teddy closes hard on the outside, but can’t catch GW"
2012-09-24,MIL,George,Presidents form blockade around Teddy Roosevelt
2012-10-01,PHI,George,John McCain gives Teddy an HD scoreboard pep talk
2012-10-02,PHI,George,"After Teddy locks out Abe & Tom, George out-cheats him"
2012-10-03,PHI,Teddy,Teddy wins historic first presidents race after 525 losses
2012-10-10,STL,Teddy,Racing presidents dance Gangnam Style as Teddy wins
2012-10-11,STL,Teddy,All star cast of villains returns to help Teddy win
2012-10-12,STL,Teddy,"Grounds crew pummels George, Tom, and Abe"
2013-04-01,MIA,George,"Winthrop Roosevelt no help, Taft pushes Teddy around"
2013-04-03,MIA,Tom,"George exacts revenge on Taft. Still, Teddy doesn’t win."
2013-04-04,MIA,George,"Tom, George collude to give Washington the victory"
2013-04-09,CWS,George/Tom,HBO’s VEEP Selina Myer teams with Teddy for relay race
2013-04-10,CWS,George,Washington edges Taft at the finish
2013-04-11,CWS,Tom,"George and Abe hold hands, skip across the finish line"
2013-04-12,ATL,George,George takes out Teddy and Taft on the way to victory
2013-04-13,ATL,Tom,"Teddy, Taft get revenge on George Washington"
2013-04-14,ATL,Tom,"Mascots visit for Screech’s birthday, pummel presidents"
2013-04-22,STL,Tom,Abe sets a trap for Teddy Roosevelt on Earth Day
2013-04-23,STL,Tom,"Presidents switch directions, Jefferson gets cocky"
2013-04-24,STL,George,"Nats get superstitious, presidents race runs left again"
2013-04-25,CIN,George,Presidents race run in reverse to stop Nats losing streak
2013-04-26,CIN,George,"Caught on video: Jefferson trips, then jumps the gun"
2013-04-27,CIN,George,Presidents run in reverse again as win streak extended
2013-04-28,CIN,George,"Presidents run in reverse, but Nats lose series finale"
